"DOPLogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","PreyLengthComments"
2,"EDSM","18-03-SSC02",8/15/2017 0:00:00,"E2","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NM, NW, eye NI"
2,"EDSM","18-03-SSC02",8/15/2017 0:00:00,"E2","Hyperacanthomysis longirostris",,1.00,"ED",,0.10,,,"NM, NW, eye NI"
6,"EDSM","18-05-LSR02",8/28/2017 0:00:00,"E6","Corophium type","juvenile Corophium",1.10,,,,,,"NW"
7,"EDSM","18-06-LSR01",9/8/2017 0:00:00,"E7","Corophium type","juvenile Corophium",1.20,,,,,,"NW"
7,"EDSM","18-06-LSR01",9/8/2017 0:00:00,"E7","Corophium type","A. spinicorne",2.10,,2.8e-04,,1.10,,
8,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E8","Hyperacanthomysis longirostris",,1.60,"Y",,,,,"NM, NW, eye NM"
8,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E8","Gammarus type","juvenile Gammarus",1.60,"S",,,,,"NM"
8,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E8","Corophium type","juvenile Corophium",1.30,,,,,,"NW"
8,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E8","Corophium type","juvenile Corophium",1.10,,,,,,"NW"
9,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E9","Corophium type","juvenile Corophium",2.00,,,,,,"NI"
10,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E10","Gammarus type","juvenile Gammarus",1.10,,,,,,"NW"
10,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E10","Gammarus type","juvenile Gammarus",1.80,,,,,,"NW"
10,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E10","Corophium type","A. stimpsoni",3.80,,6.8e-04,,2.20,"M",
12,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E12","Corophium type","juvenile Corophium",1.20,"S",,,,,"NM, NW"
12,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E12","Corophium type","Unid Corophium type",1.30,"S",,,,,"NM, NW"
14,"EDSM","18-08-LSR01",9/18/2017 0:00:00,"E14","Gammarus type","juvenile Gammarus",1.70,,,,,,"NW"
