Project,Station,Latitude,Longitude
EDSM,18-02-CS01,38.33243,-121.64794
EDSM,18-02-SBM02,38.06495,-122.03767
EDSM,18-02-SBM04,38.06597,-121.97063
EDSM,18-03-HB01,38.04771,-121.89447
EDSM,18-03-SM02,38.13239,-122.05827
EDSM,18-03-SSC02,38.38645,-121.62388
EDSM,18-04-LSJ03,38.04901,-121.84439
EDSM,18-04-LSR03,38.05231,-121.87038
EDSM,18-04-SBM02,38.11278,-122.05582
EDSM,18-04-SBM05,38.08215,-122.04041
EDSM,18-04-SSC02,38.39524,-121.61968
EDSM,18-05-LSR02,38.06954,-121.84788
EDSM,18-05-SBM02,38.06562,-122.02305
EDSM,18-06-LSR01,38.05824,-121.87256
EDSM,18-06-SBM01,38.06205,-122.00065
EDSM,18-06-SBM02,38.09994,-122.06793
EDSM,18-07-HB01,38.05581,-121.96093
EDSM,18-07-SBM01,38.06047,-122.04606
EDSM,18-07-SBM02,38.0941,-122.05948
EDSM,18-07-SBM03,38.07106,-122.01783
EDSM,18-08-LSR01,38.0679,-121.84983
EDSM,18-08-LSR02,38.05384,-121.86936
EDSM,18-08-SBM01,38.09492,-122.05696
EDSM,18-08-SM01,38.16527,-122.04296
EDSM,18-09-LSR01,38.05646,-121.87784
EDSM,18-09-SBM01,38.07158,-121.98428
EDSM,18-09-SBM02,38.05988,-121.9981
EDSM,18-10-LSR06,38.06498,-121.86378
EDSM,18-11-LSR01,38.07601,-121.77203
EDSM,18-11-LSR02,38.06779,-121.83366
EDSM,18-11-SM01,38.17441,-121.96327
EDSM,18-12-SM01,38.17691,-122.00949
EDSM,18-13-HB01,38.04826,-121.8988
EDSM,18-13-LSR01,38.07102,-121.84818
EDSM,18-14-SM01,38.1736,-121.94748
EDSM,18-15-LSR02,38.06176,-121.7903
EDSM,18-17-LSR01,38.0703,-121.83148
EDSM,18-18-HB01,38.04552,-121.92586
EDSM,18-18-SBM02,38.08386,-121.99911
EDSM,18-18-SM01,38.18579,-121.96987
EDSM,18-49-CF01,38.04681,-121.89945
EDSM,18-49-LSSC03,38.3957,-121.61898
EDSM,18-50-LSSC01,38.42217,-121.60752
EDSM,18-51-CF02,38.06416,-121.85348
EDSM,18-51-HB01,38.05514,-121.94021
EDSM,18-51-LSSC01,38.44732,-121.59549
EDSM,18-51-LSSC04,38.42291,-121.60767
EDSM,18-52-LSSC02,38.42501,-121.60663
EDSM,18-52-LSSC03,38.302,-121.65507
EDSM,18-52-LSSC05,38.42103,-121.60749
EDSM,18-53-LSSC01,38.46798,-121.58648
EDSM,18-53-USSC03,38.48586,-121.58477
EDSM,19-02-LSSC02,38.38578,-121.62494
EDSM,19-03-LSR01,38.0676,-121.82185
EDSM,19-03-LSSC01,38.37037,-121.63152
EDSM,19-03-SM03,38.1724,-122.06512
EDSM,19-03-SM05,38.16551,-122.04404
EDSM,19-04-GB01,38.1088,-122.05777
EDSM,19-04-LSR01,38.0664,-121.81958
EDSM,19-04-LSR03,38.06357,-121.81663
EDSM,19-04-LSSC03,38.40101,-121.61782
EDSM,19-04-LSSC05,38.34796,-121.64151
EDSM,19-04-SM01,38.18048,-122.00072
EDSM,19-05-LSSC05,38.32902,-121.64791
EDSM,19-06-GB01,38.09943,-122.06699
EDSM,19-06-SM04,38.18563,-122.05531
EDSM,19-07-LSSC02,38.35648,-121.63838
EDSM,19-07-LSSC06,38.37611,-121.62819
EDSM,19-08-LSR02,38.06951,-121.83338
EDSM,19-08-LSSC03,38.3455,-121.64266
EDSM,19-09-LSR02,38.07056,-121.83604
EDSM,19-09-LSSC02,38.39376,-121.62058
EDSM,19-09-LSSC05,38.36637,-121.63373
EDSM,19-10-LSSC01,38.38976,-121.62311
EDSM,19-11-LSR01,38.0594,-121.80823
EDSM,19-11-LSSC03,38.40793,-121.61381
EDSM,19-11-LSSC06,38.42769,-121.60461
EDSM,19-12-LSSC03,38.4574,-121.59064
EDSM,19-12-LSSC04,38.38624,-121.62434
EDSM,19-14-LSR02,38.08937,-121.74326
EDSM,19-14-LSR03,38.06589,-121.81555
EDSM,19-14-LSSC03,38.4699,-121.58547
EDSM,19-14-LSSC06,38.41457,-121.61108
EDSM,19-14-USSC01,38.48576,-121.5845
EDSM,19-15-LSSC01,38.44046,-121.59932
EDSM,19-15-SM01,38.17545,-122.01299
EDSM,19-15-SM04,38.19392,-122.04002
EDSM,19-17-LSSC02,38.45239,-121.59285
EDSM,19-18-LSR03,38.063,-121.80696
EDSM,19-18-SM02,38.20817,-122.03394
EDSM,19-49-LSSC01,38.35765,-121.63684
EDSM,19-49-LSSC02,38.33051,-121.64879
EDSM,19-49-LSSC03,38.46571,-121.58771
EDSM,19-49-SBM02,38.0735,-121.97254
EDSM,19-49-SM01,38.12307,-121.90067
EDSM,19-50-CS05,38.24739,-121.67606
EDSM,19-50-LSSC02,38.37447,-121.62987
EDSM,19-50-LSSC03,38.31564,-121.651
EDSM,19-50-LSSC05,38.36716,-121.63356
EDSM,19-50-SBM01,38.10018,-122.02812
EDSM,19-50-SM03,38.16159,-122.04742
EDSM,19-51-HB01,38.04912,-121.95945
EDSM,19-51-LSR02,38.06309,-121.80838
EDSM,19-51-LSR03,38.07526,-121.77107
EDSM,19-51-LSSC02,38.46605,-121.5871
EDSM,19-51-SBM01,38.09357,-122.05553
EDSM,19-51-SBW02,38.06351,-122.11063
EDSM,19-52-LSR01,38.07068,-121.83932
EDSM,19-52-LSSC02,38.45659,-121.59103
EDSM,19-52-LSSC03,38.3834,-121.6257
EDSM,19-53-GB01,38.1086,-122.05795
EDSM,19-53-LSSC01,38.28807,-121.65853
EDSM,19-53-LSSC02,38.4142,-121.61171
EDSM,19-53-LSSC04,38.25268,-121.66831
EDSM,19-53-LSSC05,38.43663,-121.60033
EDSM,19-53-SBM03,38.09101,-122.00775
EDSM,19-53-SBW01,38.06484,-122.11123
EDSM,20-02-LSSC02,38.33193,-121.64839
EDSM,20-02-SM03,38.13608,-122.05981
