"FLaSHLogNumber","Project","Year","SampleDate","Station","Species","SerialNumber","GutContents","PreyItemsID'd","DietStudy"
1,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1076","y","y",1
2,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1081","y","y",1
3,"TNS",2011,8/24/2011 0:00:00,"501","DELSME","1005","y","y",1
4,"TNS",2011,8/26/2011 0:00:00,"340","DELSME","1087","y","y",1
5,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1062","y","y",1
6,"TNS",2011,8/24/2011 0:00:00,"519","DELSME","1006","y","y",1
7,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1072","y","y",1
8,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1080","y","y",1
9,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1063","y","y",1
10,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1074","y","y",1
11,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1082","y","y",1
12,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1066","y","y",1
13,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1065","y","y",1
14,"TNS",2011,8/25/2011 0:00:00,"418","DELSME","1085","y","y",1
15,"TNS",2011,8/24/2011 0:00:00,"501","DELSME","1004","y","y",1
16,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1382","y","y",1
17,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1398","y","y",1
18,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1384","y","y",1
19,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1071","y","y",1
20,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1075","y","y",1
21,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1078","y","y",1
22,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1079","y","y",1
23,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1073","y","y",1
24,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1077","y","y",1
25,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1067","y","y",1
26,"TNS",2011,8/25/2011 0:00:00,"602","DELSME","1068","y","y",1
27,"TNS",2011,8/24/2011 0:00:00,"501","DELSME","1003","y","y",1
28,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1366","y","y",1
29,"TNS",2011,8/23/2011 0:00:00,"716","DELSME","1381","y","y",1
