"FLaSHLogNumber","Project","Date","Station","MinOfTowTime","SerialNumber","PreyLengthID","PreyCategory","PreyLengthSpecies","PreyLength","PreyAntennaeLength","PreySex","PreyLengthComments","PreyItemsID'd","DietStudy"
1168,"SKT",2/7/2013 0:00:00,"609",12/30/1899 13:15:00,"6378",8703,"Corophium type","A. spinicorne",3.90,2.50,"M","A2: 2.5 mm, M","Y",1
1170,"SKT",2/7/2013 0:00:00,"609",12/30/1899 13:15:00,"6381",8714,"Corophium type","A. spinicorne",3.10,1.40,"M","A2: 1.4 mm, M","Y",1
1174,"SKT",2/6/2013 0:00:00,"713",12/30/1899 11:42:00,"6309",8715,"Corophium type","A. stimpsoni",3.10,1.40,,"A2: 1.4 mm","Y",1
1179,"SKT",2/6/2013 0:00:00,"719",12/30/1899 9:31:00,"6329",8716,"Corophium type","A. stimpsoni",3.60,1.60,"M","NI, A2: 1.6 mm, M","Y",1
1013,"FMWT",10/15/2012 0:00:00,"703",12/30/1899 8:45:00,"5704",8216,"Corophium type","A. spinicorne",3.80,3.20,,"NI. 2nd antenna 3.2 mm (only one)","Y",1
1016,"FMWT",10/15/2012 0:00:00,"704",12/30/1899 9:10:00,"5723",8234,"Corophium type","A. spinicorne",2.70,2.10,"M","A2: 2.1 mm (male)","Y",1
1028,"FMWT",11/14/2012 0:00:00,"705",12/30/1899 9:26:00,"5944",8314,"Corophium type","A. stimpsoni",4.50,3.30,,"NM, NE, A2 = 3.3 mm","Y",1
1032,"FMWT",12/7/2012 0:00:00,"515",12/30/1899 8:24:00,"6110",8357,"Corophium type","A. stimpsoni",3.40,1.40,,"NM; A2: 1.4 mm","y",1
1032,"FMWT",12/7/2012 0:00:00,"515",12/30/1899 8:24:00,"6110",8355,"Corophium type","A. stimpsoni",1.80,0.70,,"A2: 0.7 mm","y",1
1032,"FMWT",12/7/2012 0:00:00,"515",12/30/1899 8:24:00,"6110",8356,"Corophium type","A. stimpsoni",2.90,0.70,,"NM; A2: 0.7 mm","y",1
1034,"FMWT",12/7/2012 0:00:00,"517",12/30/1899 9:15:00,"6113",8366,"Corophium type","A. stimpsoni",1.50,0.70,,"A2: 0.7 mm","y",1
1035,"FMWT",12/7/2012 0:00:00,"519",12/30/1899 10:02:00,"6115",8370,"Corophium type","A. stimpsoni",4.40,2.20,,"NM; A2: 2.2 mm","Y",1
1038,"FMWT",12/12/2012 0:00:00,"716",12/30/1899 13:36:00,"6188",8389,"Corophium type","A. stimpsoni",4.70,1.80,"F","Female, A2: 1.8 mm","Y",1
