"FLaSHLogNumber","Project","Date","Station","MinOfTowTime","SerialNumber","PreyCategory","PreyLengthID","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","Comments"
28,"STN",8/23/2011 0:00:00,"716",12/30/1899 8:08:00,"1366","Unid amphipod",37,"Unid amphipod",1.16,"Y",,,"NM, no eye; mean length Corophium"
67,"STN",8/23/2011 0:00:00,"716",12/30/1899 8:08:00,"1378B","Chironomid larvae",177,,1.50,,,,
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Hyperacanthomysis longirostris",442,,2.00,,,,
138,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2407","Unid plant material",452,,1.00,,,,
138,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2407","Corophium type",449,,1.10,,,,
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Corophium type",448,,1.00,,,,
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Corophium type",447,,1.00,,,,
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Hyperacanthomysis longirostris",446,,2.15,"G",,,"NM, no eye"
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Hyperacanthomysis longirostris",445,,2.20,,,,
154,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2386","Corophium type",612,,1.10,,,,
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Hyperacanthomysis longirostris",443,,2.30,,,,
131,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2395","Corophium type",435,,1.25,,,,
133,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2406","Unid mysids",438,,2.35,"M",,,"NM, no eye"
158,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2389","Corophium type",623,,1.50,,,,
133,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2406","Unid mysids",437,,2.35,"M",,,"NM, no eye"
135,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2404","Hyperacanthomysis longirostris",444,,2.10,,,,
125,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2402","Corophium type",474,,1.10,,,,
144,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2388","Corophium type",470,,1.30,,,,"NI"
144,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2388","Corophium type",469,,1.40,,,,
144,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2388","Unid mysids",468,,2.35,"M",,0.20,"NM"
144,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2388","Unid mysids",467,,2.35,"M",,0.20,"NM"
143,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2399","Corophium type",466,,1.30,,,,
155,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2387","Hyperacanthomysis longirostris",614,,2.10,,,,
154,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2386","Corophium type",613,,1.00,,,,
158,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2389","Corophium type",622,,1.10,,,,
125,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2402","Corophium type",473,,1.00,,,,
158,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2389","Unid mysids",621,,1.60,"ED",,0.05,"NM"
125,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2402","Corophium type",475,,1.00,,,,
155,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2387","Cumaceans",615,,1.50,,,,
155,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2387","Unid amphipod",618,"Unid amphipod",1.00,"G",,,"NM, no eye; from Corophium"
155,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2387","Corophium type",616,,1.00,,,,
155,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2387","Corophium type",617,,1.00,,,,
120,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2385","Unid mysids",396,,1.50,,,,
125,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2402","Corophium type",471,,1.10,,,,
125,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2402","Corophium type",472,,1.05,"G",,,"NM, eye too small"
114,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2405","Cumaceans",378,,2.30,,,,
120,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2385","Hyperacanthomysis longirostris",398,,1.90,,,,
119,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2403","Cumaceans",394,,2.10,,,,
119,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2403","Unid mysids",393,,3.10,"ED",,0.20,"NM"
117,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2396","Corophium type",392,,1.00,,,,
117,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2396","Cumaceans",391,,2.30,,,,
117,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2396","Cumaceans",390,,2.00,,,,
115,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2392","Unid plant material",386,,0.50,,,,
115,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2392","Corophium type",385,,1.00,,,,"NI"
115,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2392","Corophium type",384,,1.10,,,,"NI"
115,"FMWT",10/7/2011 0:00:00,"507",12/30/1899 12:18:00,"2392","Corophium type",383,,0.80,,,,
