PreyCategory,LifeStage,PreyCategoryDefinition,RoutinelyMeasured,Phylum,Class,Order,Family,Genus,Species,MeasuredWetWeight,CalculatedWetWeight,CarbonWeight,DryWeight,Reference,StartDate,EndDate,Comments
Acanthocyclops spp,Adult,Acanthocyclops adults. Previously identified as A. vernalis. Now only identified to genus due to cryptic species complex also consisting of A. americanus and A. robustus,N,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,38.2,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Acartia copepodid,Copepodid,Acartia juveniles,N,Arthropoda,Copepoda,Calanoida,Acartiidae ,Acartia,,,11.4,0.625,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Acartia spp,Adult,Acartia spp adults. Includes A. clausi and A. californiensis,N,Arthropoda,Copepoda,Calanoida,Acartiidae ,Acartia,,71.9,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Acartiella copepodid,Copepodid,Acartiella juveniles,N,Arthropoda,Copepoda,Calanoida,Acartiidae ,Acartiella,,27.7,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Acartiella sinensis,Adult,Acartiella sinensis adults,N,Arthropoda,Copepoda,Calanoida,Acartiidae ,Acartiella,sinensis,75.3,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Alienacanthomysis macropsis ,All,"Alienacanthomysis macropsis, all age classes. Formerly known as Acanthomysis macropsis ",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Alienacanthomysis,macropsis,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Annelid worms,All,"Segmented worms from the Phylum Annelida including Oligochaeta, Polychaeta, and Hirudinida. Presence/absence only. Weight not quantified",N,Annelida,,,,,,NA,,,,NA,2011,,
Asplanchna,All,"Asplanchna spp, all age classes",N,Rotifera,Monogononta,Ploima,Asplanchnidae,Asplanchna,,3.6,,,,"From Other Rotifer; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Barnacle nauplii,Nauplii,All barnacle nauplii,N,Arthropoda,Cirripedia,Sessilia,,,,13.9,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Bosmina longirostris,All,"Bosmina longirostris, all age classes",N,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Bosmina,longirostris,6.9,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Calanoid copepodid,Copepodid,Calanoid copepod juveniles which cannot be placed in any other taxonomic category,N,Arthropoda,Copepoda,Calanoida,,,,13.8,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Ceriodaphnia spp,All,"Ceriodaphnia spp, all age classes. Includes C. reticulata and C. quadrangula",N,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,,32.3,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Chironomid larvae,Larvae,All larvae from the Chironomidae family of insects,Y,Arthropoda,Insecta,Diptera,Chironomidae,,,164,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Clams,All,"Clams, all species",N,Mollusca,Bivalvia,,,,,33.4,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Copepod nauplii,Nauplii,Copepod larvae that are unable to be identified to any of the listed lower taxonomic classifications,N,Arthropoda,Copepoda,,,,,2.4,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
