"UniqueID","DietStudy","LogNumber","Project","GearType","Year","Month","Date","Time","Station","SerialNumber","CultureOrigin","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","Length","GutContents","TotalGutContentWeight","TotalNumberOfPrey","TotalPreyWeight","GutFullness","FullnessRank","DigestionRank","Debris","Unid animal material","Unid plant material","Stomach tissue","Worm pieces","Acanthocyclops spp","Acartia copepodid","Acartia spp","Acartiella copepodid","Acartiella sinensis","Barnacle nauplii","Bosmina spp","Calanoid copepodid","Ceriodaphnia spp","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diaphanosoma spp","Diaptomus copepodid","Diaptomus spp","Eurytemora copepodid","Eurytemora nauplii","Eurytemora spp","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona copepodid","Limnoithona spp","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Nippoleucon hinumensis","Oithona copepodid","Oithona davisae","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other rotifer","Other zooplankton","Pacific Herring","Palaemon","Prickly Sculpin","Pseudodiaptomus copepodid","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus nauplii","Pseudodiaptomus spp","Sinocalanus copepodid","Sinocalanus nauplii","Sinocalanus spp","Synchaeta","Terrestrial invertebrates","Tortanus copepodid","Tortanus dextrilobatus","Tortanus spp","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cyclopoid","Unid fish","Unid mysids"
"FLaSH 0001 STN 2011-08-25 602 1076","FLaSH","0001","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1076","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.6265,47,"Y",0.008,287,0.008,0.43574,NA,NA,"N","N","N","Y","N",0,0,0,2,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,3,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FLaSH 0002 STN 2011-08-25 602 1081","FLaSH","0002","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1081","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.4112,39,"Y",0.00383,611,0.00383,0.98893,NA,NA,"N","N","N","Y","N",0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,24,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FLaSH 0003 STN 2011-08-24 501 1005","FLaSH","0003","STN","TWNET",2011,8,2011-08-24,09:34:00,"501","1005","U",10.4,20.6,6800,3.71,20,7600,4.18,51,18.2,1.1577,55,"Y",0.00561,67,0.00561,0.41712,NA,NA,"N","N","N","N","N",0,0,0,0,46,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"FLaSH 0004 STN 2011-08-26 340 1087","FLaSH","0004","STN","TWNET",2011,8,2011-08-26,08:12:00,"340","1087","U",3.7,20.2,22430,13.49,20,22520,13.55,46,22.4,0.7949,47,"Y",0.00139,15,0.00139,0.44045,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0005 STN 2011-08-25 602 1062","FLaSH","0005","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1062","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.9155,52,"Y",0.00648,47,0.00648,0.3704,NA,NA,"N","N","Y","N","N",0,0,0,0,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"FLaSH 0006 STN 2011-08-24 519 1006","FLaSH","0006","STN","TWNET",2011,8,2011-08-24,10:40:00,"519","1006","U",2.7,20.8,3587,1.86,21,3599,1.87,49,19,0.4263,51,"Y",0.00206,16,0.00206,0.29372,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0007 STN 2011-08-25 602 1072","FLaSH","0007","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1072","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.5123,44,"Y",0.00074,3,0.00074,0.02651,NA,NA,"N","N","N","N","N",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0008 STN 2011-08-25 602 1080","FLaSH","0008","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1080","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.5366,44,"Y",0.00332,3,0.00332,0.0383,NA,NA,"N","N","N","N","N",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0009 STN 2011-08-25 602 1063","FLaSH","0009","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1063","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.6312,45,"Y",0.00224,27,0.00224,0.18558,NA,NA,"N","N","N","N","N",0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0010 STN 2011-08-25 602 1074","FLaSH","0010","STN","TWNET",2011,8,2011-08-25,09:57:00,"602","1074","U",2.4,20.3,8160,4.51,20,8100,4.47,17,47.9,0.5091,45,"Y",0.00075,217,0.00075,0.31534,NA,NA,"N","N","N","N","N",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
