"UniqueID","DietStudy","LogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","Comments"
"DOP 0002 EDSM 2017-08-15 18-03-SSC02 E2","DOP","0002","EDSM","18-03-SSC02",2017-08-15,"E2","Hyperacanthomysis longirostris",NA,1,"ED",NA,0.1,NA,"","NM, NW, eye NI"
"DOP 0002 EDSM 2017-08-15 18-03-SSC02 E2","DOP","0002","EDSM","18-03-SSC02",2017-08-15,"E2","Hyperacanthomysis longirostris",NA,1,"ED",NA,0.1,NA,"","NM, NW, eye NI"
"DOP 0006 EDSM 2017-08-28 18-05-LSR02 E6","DOP","0006","EDSM","18-05-LSR02",2017-08-28,"E6","Corophium type",NA,1.1,"",NA,NA,NA,"","NW"
"DOP 0007 EDSM 2017-09-08 18-06-LSR01 E7","DOP","0007","EDSM","18-06-LSR01",2017-09-08,"E7","Corophium type",NA,1.2,"",NA,NA,NA,"","NW"
"DOP 0007 EDSM 2017-09-08 18-06-LSR01 E7","DOP","0007","EDSM","18-06-LSR01",2017-09-08,"E7","Corophium type","A. spinicorne",2.1,"",0.00028,NA,1.1,"",""
"DOP 0008 EDSM 2017-09-18 18-08-LSR01 E8","DOP","0008","EDSM","18-08-LSR01",2017-09-18,"E8","Hyperacanthomysis longirostris",NA,1.6,"Y",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0008 EDSM 2017-09-18 18-08-LSR01 E8","DOP","0008","EDSM","18-08-LSR01",2017-09-18,"E8","Gammarus type",NA,1.6,"S",NA,NA,NA,"","NM"
"DOP 0008 EDSM 2017-09-18 18-08-LSR01 E8","DOP","0008","EDSM","18-08-LSR01",2017-09-18,"E8","Corophium type",NA,1.3,"",NA,NA,NA,"","NW"
"DOP 0008 EDSM 2017-09-18 18-08-LSR01 E8","DOP","0008","EDSM","18-08-LSR01",2017-09-18,"E8","Corophium type",NA,1.1,"",NA,NA,NA,"","NW"
"DOP 0009 EDSM 2017-09-18 18-08-LSR01 E9","DOP","0009","EDSM","18-08-LSR01",2017-09-18,"E9","Corophium type",NA,2,"",NA,NA,NA,"","NI"
"DOP 0010 EDSM 2017-09-18 18-08-LSR01 E10","DOP","0010","EDSM","18-08-LSR01",2017-09-18,"E10","Gammarus type",NA,1.1,"",NA,NA,NA,"","NW"
"DOP 0010 EDSM 2017-09-18 18-08-LSR01 E10","DOP","0010","EDSM","18-08-LSR01",2017-09-18,"E10","Gammarus type",NA,1.8,"",NA,NA,NA,"","NW"
"DOP 0010 EDSM 2017-09-18 18-08-LSR01 E10","DOP","0010","EDSM","18-08-LSR01",2017-09-18,"E10","Corophium type","A. stimpsoni",3.8,"",0.00068,NA,2.2,"M",""
"DOP 0012 EDSM 2017-09-18 18-08-LSR01 E12","DOP","0012","EDSM","18-08-LSR01",2017-09-18,"E12","Corophium type",NA,1.2,"S",NA,NA,NA,"","NM, NW"
"DOP 0012 EDSM 2017-09-18 18-08-LSR01 E12","DOP","0012","EDSM","18-08-LSR01",2017-09-18,"E12","Corophium type","Unid Corophium type",1.3,"S",NA,NA,NA,"","NM, NW"
"DOP 0014 EDSM 2017-09-18 18-08-LSR01 E14","DOP","0014","EDSM","18-08-LSR01",2017-09-18,"E14","Gammarus type",NA,1.7,"",NA,NA,NA,"","NW"
"DOP 0017 EDSM 2017-09-18 18-08-LSR01 E17","DOP","0017","EDSM","18-08-LSR01",2017-09-18,"E17","Gammarus type","Unid Gammaroidea",3,"",2e-04,NA,NA,"",""
"DOP 0020 EDSM 2017-09-18 18-08-LSR01 E20","DOP","0020","EDSM","18-08-LSR01",2017-09-18,"E20","Corophium type",NA,1,"",NA,NA,NA,"","NI"
"DOP 0022 EDSM 2017-09-18 18-08-LSR02 E22","DOP","0022","EDSM","18-08-LSR02",2017-09-18,"E22","Corophium type",NA,1,"",NA,NA,NA,"","NW"
"DOP 0022 EDSM 2017-09-18 18-08-LSR02 E22","DOP","0022","EDSM","18-08-LSR02",2017-09-18,"E22","Corophium type",NA,1.6,"",NA,NA,NA,"","NI"
"DOP 0023 EDSM 2017-09-18 18-08-LSR02 E23","DOP","0023","EDSM","18-08-LSR02",2017-09-18,"E23","Corophium type",NA,1.3,"S",NA,NA,NA,"","NM"
"DOP 0024 EDSM 2017-09-18 18-08-LSR01 E24","DOP","0024","EDSM","18-08-LSR01",2017-09-18,"E24","Unid mysids",NA,1.6,"S",NA,NA,NA,"","NM, NW, eye NM, legs only"
"DOP 0024 EDSM 2017-09-18 18-08-LSR01 E24","DOP","0024","EDSM","18-08-LSR01",2017-09-18,"E24","Gammarus type","Unid Gammarus type",3,"S",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0027 EDSM 2017-10-10 18-11-LSR01 E27","DOP","0027","EDSM","18-11-LSR01",2017-10-10,"E27","Gammarus type",NA,1.5,"",NA,NA,NA,"","NW"
"DOP 0027 EDSM 2017-10-10 18-11-LSR01 E27","DOP","0027","EDSM","18-11-LSR01",2017-10-10,"E27","Gammarus type","Gammarus spp",5.6,"",NA,NA,NA,"","NI, NW, eye NM"
"DOP 0027 EDSM 2017-10-10 18-11-LSR01 E27","DOP","0027","EDSM","18-11-LSR01",2017-10-10,"E27","Unid amphipod","Unid amphipod",2.9,"S",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0028 EDSM 2017-10-10 18-11-LSR01 E28","DOP","0028","EDSM","18-11-LSR01",2017-10-10,"E28","Corophium type","Unid Corophium type",3.5,"S",NA,NA,NA,"","~3/4 of body, ~3.5 mm, NM, NW, A2 NM"
"DOP 0029 EDSM 2017-10-10 18-11-LSR01 E29","DOP","0029","EDSM","18-11-LSR01",2017-10-10,"E29","Gammarus type","Unid Gammarus type",3.3,"S",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0029 EDSM 2017-10-10 18-11-LSR01 E29","DOP","0029","EDSM","18-11-LSR01",2017-10-10,"E29","Unid amphipod","Unid amphipod",2.9,"S",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0030 EDSM 2017-10-10 18-11-LSR01 E30","DOP","0030","EDSM","18-11-LSR01",2017-10-10,"E30","Gammarus type","Gammarus spp",4.9,"",NA,0.2,NA,"","NW, eye NI"
"DOP 0030 EDSM 2017-10-10 18-11-LSR01 E30","DOP","0030","EDSM","18-11-LSR01",2017-10-10,"E30","Gammarus type","Gammarus spp",4.9,"G",NA,NA,NA,"","NM, NW, NM"
"DOP 0030 EDSM 2017-10-10 18-11-LSR01 E30","DOP","0030","EDSM","18-11-LSR01",2017-10-10,"E30","Gammarus type",NA,1.9,"",NA,NA,NA,"","NW"
"DOP 0030 EDSM 2017-10-10 18-11-LSR01 E30","DOP","0030","EDSM","18-11-LSR01",2017-10-10,"E30","Gammarus type","Unid Gammarus type",3.2,"ED",NA,0.1,NA,"","NM, NW, eye NI"
"DOP 0030 EDSM 2017-10-10 18-11-LSR01 E30","DOP","0030","EDSM","18-11-LSR01",2017-10-10,"E30","Gammarus type","Unid Gammarus type",3.2,"ED",NA,0.1,NA,"","NM, NW"
"DOP 0030 EDSM 2017-10-10 18-11-LSR01 E30","DOP","0030","EDSM","18-11-LSR01",2017-10-10,"E30","Corophium type",NA,1.8,"",NA,NA,NA,"","NW"
"DOP 0031 EDSM 2017-10-10 18-11-LSR01 E31","DOP","0031","EDSM","18-11-LSR01",2017-10-10,"E31","Gammarus type","Unid Gammarus type",3.2,"ED",NA,0.1,NA,"",""
"DOP 0031 EDSM 2017-10-10 18-11-LSR01 E31","DOP","0031","EDSM","18-11-LSR01",2017-10-10,"E31","Gammarus type","Unid Gammarus type",4.6,"ED",NA,0.2,NA,"",""
"DOP 0032 EDSM 2017-10-10 18-11-LSR01 E32","DOP","0032","EDSM","18-11-LSR01",2017-10-10,"E32","Gammarus type","Gammarus spp",3.6,"",NA,0.2,NA,"","NW, eye NI"
"DOP 0032 EDSM 2017-10-10 18-11-LSR01 E32","DOP","0032","EDSM","18-11-LSR01",2017-10-10,"E32","Gammarus type","Gammarus spp",2.8,"",NA,0.2,NA,"","NI, NW, eye NI"
"DOP 0032 EDSM 2017-10-10 18-11-LSR01 E32","DOP","0032","EDSM","18-11-LSR01",2017-10-10,"E32","Gammarus type","Gammarus spp",2.4,"",0.00027,NA,NA,"","Eye NM"
"DOP 0032 EDSM 2017-10-10 18-11-LSR01 E32","DOP","0032","EDSM","18-11-LSR01",2017-10-10,"E32","Gammarus type","Gammarus spp",6.8,"",NA,0.3,NA,"","NI, NW, eye NI"
"DOP 0032 EDSM 2017-10-10 18-11-LSR01 E32","DOP","0032","EDSM","18-11-LSR01",2017-10-10,"E32","Gammarus type",NA,1.9,"S",NA,NA,NA,"","NM"
"DOP 0034 EDSM 2017-10-10 18-11-LSR01 E34","DOP","0034","EDSM","18-11-LSR01",2017-10-10,"E34","Gammarus type","Unid Gammarus type",4.6,"ED",NA,0.2,NA,"","NM, NW, eye NI"
"DOP 0034 EDSM 2017-10-10 18-11-LSR01 E34","DOP","0034","EDSM","18-11-LSR01",2017-10-10,"E34","Gammarus type","Unid Gammarus type",4.6,"G",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0034 EDSM 2017-10-10 18-11-LSR01 E34","DOP","0034","EDSM","18-11-LSR01",2017-10-10,"E34","Gammarus type","Unid Gammarus type",3.2,"S",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0034 EDSM 2017-10-10 18-11-LSR01 E34","DOP","0034","EDSM","18-11-LSR01",2017-10-10,"E34","Corophium type",NA,1.4,"",NA,NA,NA,"","NW"
"DOP 0036 EDSM 2017-10-10 18-11-LSR01 E36","DOP","0036","EDSM","18-11-LSR01",2017-10-10,"E36","Chironomid larvae",NA,3.1,"G",NA,NA,NA,"","NM"
