"","Project","Station","SampleDate","Species","SerialNumber","Year","GutContents","LogNumber"
"1","EDSM","19-10-LSSC01","10/4/2018 0:00:00","DELSME","E136",2018,"","0182"
"2","EDSM","19-49-SM01","7/3/2019 0:00:00","DELSME","E328",2019,"","0269"
"3","EDSM","19-50-LSSC05","7/9/2019 0:00:00","DELSME","E341",2019,"","0350"
"4","EDSM","20-50-LSSC02","7/6/2020 0:00:00","DELSME","E481",2020,"","0439"
"5","EDSM","21-38-LSSC02","4/12/2021 0:00:00","DELSME","17",2021,"","0445"
"6","EDSM","22-20-RV05","12/17/2021 0:00:00","DELSME","S-102",2021,"","0453"
"7","EDSM","22-34-LSSC02","3/23/2022 0:00:00","DELSME","S-137",2022,"","0505"
"8","EDSM","22-38-LSR01","4/20/2022 0:00:00","DELSME","622",2022,"","0513"
"9","EDSM","22-38-SSC10","4/18/2022 0:00:00","DELSME","1173",2022,"","0521"
"10","EDSM","23-14-LSR06","11/3/2022 0:00:00","DELSME","S-323",2022,"","0535"
"11","EDSM","23-26-SB05","1/24/2023 0:00:00","DELSME","S-404",2023,"","0581"
