"LogNumber","Project","Station","Date","n"
"1909","GES","706",2014-08-21,1
"1910","GES","706",2014-08-21,1
"1911","GES","706",2014-08-21,1
"1912","GES","706",2014-08-21,1
"1913","GES","706",2014-08-21,1
"1914","GES","706",2014-08-21,1
"1915","GES","706",2014-08-21,1
"1916","GES","706",2014-08-21,1
"1917","GES","706",2014-08-21,1
"1918","GES","706",2014-08-21,1
"1919","GES","706",2014-08-21,1
"1920","GES","706",2014-08-21,1
"1921","GES","706",2014-08-21,1
"1922","GES","706",2014-08-21,1
"1924","GES","706",2014-08-21,1
"1925","GES","706",2014-08-21,1
"1926","GES","706",2014-08-21,1
"1927","GES","706",2014-08-21,1
"1969","GES","797",2014-08-21,1
"1970","GES","797",2014-08-21,1
"1971","GES","797",2014-08-21,1
"1972","GES","797",2014-08-21,1
"1973","GES","797",2014-08-21,1
"1974","GES","797",2014-08-21,1
"1975","GES","797",2014-08-21,1
"1976","GES","797",2014-08-21,1
"1977","GES","797",2014-08-21,1
"1978","GES","797",2014-08-21,1
"1979","GES","797",2014-08-21,1
"1980","GES","797",2014-08-21,1
"1981","GES","797",2014-08-21,1
"1982","GES","797",2014-08-21,1
"1983","GES","797",2014-08-21,1
"1984","GES","797",2014-08-21,1
"1985","GES","797",2014-08-21,1
"1986","GES","797",2014-08-21,1
"1987","GES","797",2014-08-21,1
"1988","GES","797",2014-08-21,1
"1989","GES","797",2014-08-21,1
"1990","GES","797",2014-08-21,1
"1991","GES","797",2014-08-21,1
"1992","GES","797",2014-08-21,1
"1993","GES","797",2014-08-21,1
"1994","GES","797",2014-08-21,1
"1995","GES","797",2014-08-21,1
"1996","GES","797",2014-08-21,1
"1997","GES","797",2014-08-21,1
"2062","GES","797",2014-09-25,1
