"LogNumber","Project","Station","Date","n"
"1889","GES","705",2014-10-21,3
"1890","GES","705",2014-10-21,3
"1891","GES","705",2014-10-21,3
"1892","GES","705",2014-10-21,3
"1893","GES","705",2014-10-21,3
"1894","GES","705",2014-10-21,3
"1895","GES","706",2014-12-02,4
"1896","GES","706",2014-12-02,4
"1898","GES","706",2014-12-02,4
"1899","GES","706",2014-12-02,4
"1900","GES","706",2014-12-02,4
"1901","GES","706",2014-12-02,4
"1902","GES","706",2014-12-02,4
"1903","GES","706",2014-12-02,4
"1904","GES","706",2014-12-02,4
"1905","GES","706",2014-12-02,4
"1906","GES","706",2014-12-02,4
"1907","GES","797",2014-12-02,2
"1908","GES","797",2014-12-02,2
"1909","GES","706",2014-08-21,1
"1910","GES","706",2014-08-21,1
"1911","GES","706",2014-08-21,1
"1912","GES","706",2014-08-21,1
"1913","GES","706",2014-08-21,1
"1914","GES","706",2014-08-21,1
"1915","GES","706",2014-08-21,1
"1916","GES","706",2014-08-21,1
"1917","GES","706",2014-08-21,1
"1918","GES","706",2014-08-21,1
"1919","GES","706",2014-08-21,1
"1920","GES","706",2014-08-21,1
"1921","GES","706",2014-08-21,1
"1922","GES","706",2014-08-21,1
"1924","GES","706",2014-08-21,1
"1925","GES","706",2014-08-21,1
"1926","GES","706",2014-08-21,1
"1927","GES","706",2014-08-21,1
"1928","GES","704",2014-08-21,4
"1929","GES","704",2014-08-21,4
"1930","GES","704",2014-08-21,4
"1931","GES","704",2014-08-21,4
"1932","GES","704",2014-08-21,4
"1933","GES","704",2014-08-21,4
"1934","GES","704",2014-08-21,4
"1935","GES","704",2014-08-21,4
"1936","GES","704",2014-08-21,4
"1937","GES","704",2014-08-21,4
"1938","GES","704",2014-08-21,4
"1939","GES","704",2014-08-21,4
"1940","GES","704",2014-08-21,4
"1941","GES","704",2014-08-21,4
"1942","GES","704",2014-08-21,4
"1943","GES","704",2014-08-21,4
"1944","GES","704",2014-08-21,4
"1945","GES","704",2014-08-21,4
"1946","GES","704",2014-08-21,4
"1947","GES","704",2014-08-21,4
"1948","GES","704",2014-08-21,4
"1949","GES","704",2014-08-21,4
"1950","GES","704",2014-08-21,4
"1951","GES","704",2014-08-21,4
"1952","GES","704",2014-08-21,4
"1953","GES","704",2014-08-21,4
"1954","GES","704",2014-08-21,4
"1955","GES","704",2014-08-21,4
"1956","GES","704",2014-08-21,4
"1957","GES","704",2014-08-21,4
"1958","GES","704",2014-08-21,4
"1960","GES","704",2014-08-21,4
"1961","GES","704",2014-08-21,4
"1962","GES","704",2014-08-21,4
"1963","GES","704",2014-08-21,4
"1964","GES","704",2014-08-21,4
"1965","GES","704",2014-08-21,4
"1966","GES","704",2014-08-21,4
"1967","GES","704",2014-08-21,4
"1968","GES","704",2014-08-21,4
"1969","GES","797",2014-08-21,1
"1970","GES","797",2014-08-21,1
"1971","GES","797",2014-08-21,1
"1972","GES","797",2014-08-21,1
"1973","GES","797",2014-08-21,1
"1974","GES","797",2014-08-21,1
"1975","GES","797",2014-08-21,1
"1976","GES","797",2014-08-21,1
"1977","GES","797",2014-08-21,1
"1978","GES","797",2014-08-21,1
"1979","GES","797",2014-08-21,1
"1980","GES","797",2014-08-21,1
"1981","GES","797",2014-08-21,1
"1982","GES","797",2014-08-21,1
"1983","GES","797",2014-08-21,1
"1984","GES","797",2014-08-21,1
"1985","GES","797",2014-08-21,1
"1986","GES","797",2014-08-21,1
"1987","GES","797",2014-08-21,1
"1988","GES","797",2014-08-21,1
"1989","GES","797",2014-08-21,1
"1990","GES","797",2014-08-21,1
"1991","GES","797",2014-08-21,1
"1992","GES","797",2014-08-21,1
"1993","GES","797",2014-08-21,1
"1994","GES","797",2014-08-21,1
"1995","GES","797",2014-08-21,1
"1996","GES","797",2014-08-21,1
"1998","GES","705",2014-09-25,5
"1999","GES","705",2014-09-25,5
"2000","GES","705",2014-09-25,5
"2001","GES","705",2014-09-25,5
"2002","GES","705",2014-09-25,5
"2003","GES","705",2014-09-25,5
"2004","GES","705",2014-09-25,5
"2005","GES","705",2014-09-25,5
"2006","GES","705",2014-09-25,5
"2007","GES","705",2014-09-25,5
"2008","GES","705",2014-09-25,5
"2009","GES","705",2014-09-25,5
"2010","GES","705",2014-09-25,5
"2011","GES","705",2014-09-25,5
"2012","GES","705",2014-09-25,5
"2013","GES","705",2014-09-25,5
