"UniqueID","DietStudy","LogNumber","Project","GearType","Year","Month","Date","Time","Station","SerialNumber","CulturedOrigin","Depth","SurfaceTemperature","SurfaceConductivity","SurfacePPT","BottomTemperature","BottomConductivity","BottomPPT","Secchi","Turbidity","TotalBodyWeight","Length","GutContents","TotalGutContentWeight","TotalNumberOfPrey","TotalPreyWeight","GutFullness","FullnessRank","DigestionRank","Debris","Stomach tissue","Unid animal material","Unid plant material","Worm pieces","Acanthocyclops spp","Acartia spp","Acartia copepodid","Acartiella sinensis","Acartiella copepodid","Barnacle nauplii","Bosmina spp","Ceriodaphnia spp","Calanoid copepodid","Chironomid larvae","Clams","Copepod nauplii","Corophium type","Crab zoea","Cumaceans","Cyclopoid copepodid","Daphnia spp","Diacyclops spp","Diaphanosoma spp","Diaptomus spp","Diaptomus copepodid","Eucyclops spp","Eurytemora spp","Eurytemora copepodid","Eurytemora nauplii","Fish eggs","Gammarus type","Harpacticoids","Hyperacanthomysis longirostris","Isopods","Limnoithona spp","Limnoithona copepodid","Longfin Smelt","Neomysis kadiakensis","Neomysis mercedis","Nippoleucon hinumensis","Oithona davisae","Oithona copepodid","Osphranticum","Ostracods","Other calanoid","Other cladocera","Other cyclopoid","Other insect larvae","Other malacostraca","Other rotifer","Other zooplankton","Palaemon","Prickly Sculpin","Pseudodiaptomus copepodid","Pseudodiaptomus forbesi","Pseudodiaptomus marinus","Pseudodiaptomus nauplii","Pseudodiaptomus spp","Sinocalanus copepodid","Sinocalanus nauplii","Sinocalanus spp","Terrestrial invertebrates","Tortanus copepodid","Tortanus dextrilobatus","Tortanus spp","Tridentiger spp","Unid amphipod","Unid calanoid","Unid cladocera","Unid copepod","Unid cumacean","Unid cyclopoid","Unid fish","Unid mysids","totprey"
"FLaSH 0017 STN 2011-08-23 716 1398","FLaSH","0017","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1398","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.35,37,"Y",0.00058,1,1e-05,0.00391,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0036 STN 2011-08-23 716 1379","FLaSH","0036","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1379","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.3541,37,"Y",0.0012,10,2e-04,0.05524,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0038 STN 2011-08-23 716 1393","FLaSH","0038","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1393","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.5529,43,"Y",0.0029,80,0.00186,0.33691,NA,NA,"N","N","Y","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0041 STN 2011-08-23 716 1386","FLaSH","0041","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1386","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.6285,44,"Y",0.00283,19,3e-04,0.04829,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0046 STN 2011-08-23 716 1392","FLaSH","0046","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1392","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.425,38,"Y",0.00128,58,0.00172,0.40461,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0055 STN 2011-08-23 716 1394","FLaSH","0055","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1394","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.3599,37,"Y",0.00068,9,0.00019,0.05385,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0056 STN 2011-08-23 716 1380","FLaSH","0056","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1380","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.454,40,"Y",0.00129,2,5e-05,0.01088,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0057 STN 2011-08-23 716 1371","FLaSH","0057","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1371","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,1.4505,59,"Y",0.00285,35,0.00119,0.08188,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0058 STN 2011-08-23 716 1378A","FLaSH","0058","STN","TWNET",2011,8,2011-08-23,08:08:00,"716","1378A","NA",10.3632,20.6,163,0.0680186925805855,20,163,0.07,35,29.5,0.385,38,"Y",NA,8,0.00019,0.04987,NA,NA,"Y","N","Y","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLaSH 0079 FMWT 2011-09-08 405 1505","FLaSH","0079","FMWT","MWT",2011,9,2011-09-08,07:58:00,"405","1505","NA",6.096,19.1,10490,5.91239763594603,NA,13420,7.72,27,104,NA,48,"Y",0.002,3,0.00033,NA,NA,NA,"N","N","N","N","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
